Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00151242",99,4,95
"S00151243",124,4,124
"S00151244",65,3,62
"S00151245",105,2,103
"S00151246",108,2,106
"S00151247",79,4,75
"S00151248",76,3,74
"S00151249",107,3,104
"S00151250",78,5,73
"S00151251",110,3,109
"S00151252",65,-,65
"S00151253",84,5,75
"S00151254",107,1,105
"S00151255",85,5,80
"S00151256",69,3,66
"S00151257",104,4,100
"S00151258",167,3,164
"S00151259",75,1,74
"S00151260",105,7,100
"S00151261",56,2,54
"S00151262",123,6,117
"S00151263",62,4,58
"S00151264",77,2,69
"S00151265",82,-,80
"S00151266",88,1,87
"S00151267",90,4,86
"S00151268",134,7,127
"S00151269",73,6,70
"S00151270",70,1,67
"S00151271",95,7,91
"S00151272",70,2,68
"S00151273",84,3,81
"S00151274",59,5,54
"S00151275",132,2,125
"S00151276",166,9,157
"S00151277",106,5,102
"S00151278",93,5,88
"S00151279",82,1,81
"S00151280",88,4,84
"S00151281",135,18,117
"S00151282",91,5,86
"S00151283",70,-,70
"S00151284",100,6,94
"S00151285",101,4,97
"S00151286",84,3,81
"S00151287",106,-,105
"S00151288",185,8,177
"S00151289",96,2,93
"S00151290",96,2,90
"S00151291",157,5,152
"S00151292",66,1,63
"S00151293",98,3,95
"S00151294",164,3,159
"S00151295",161,6,152
"S00151296",136,5,131
"S00151297",91,4,87
"S00151298",79,4,76
"S00151299",78,1,76
"S00151300",177,5,172
"S00151301",110,7,103
"S00151302",134,2,132
"S00151303",140,4,136
"S00151304",104,5,99
"S00151305",89,2,87
"S00151306",120,3,118
"S00151307",84,-,84
"S00151308",118,2,116
"S00151309",111,-,111
"S00151310",107,2,105
"S00151311",91,7,87
"S00151312",128,2,127
"S00151313",102,6,99
"S00151314",76,4,72
"S00151315",104,4,100
"S00151316",98,1,94
"S00151317",157,6,151
"S00151318",71,2,69
"S00151319",186,5,181
"S00151320",123,2,122
"S00151321",63,4,61
"S00151322",61,2,55
"S00151323",91,3,88
"S00151324",126,5,121
"S00151325",77,2,75
"S00151326",839,3,836
"S00151327",106,3,103
"S00151328",121,7,114
"S00151329",194,8,186
"S00151330",95,4,93
"S00151331",91,3,88
"S00151332",82,2,80
"S00151333",80,-,80
"S00151334",102,2,97
"S00151335",81,2,78
"S00151336",99,2,97
"S00151337",95,1,94
"S00151338",86,4,81
"S00151339",87,4,83
"S00151340",77,1,76
"S00151341",140,7,133
"S00151342",123,9,114
"S00151343",65,3,63
"S00151344",111,6,105
"S00151345",147,2,146
"S00151346",69,1,68
"S00151347",97,1,96
"S00151348",101,5,96
"S00151349",88,1,87
"S00151350",93,-,93
"S00151351",102,3,95
"S00151352",112,3,109
"S00151353",66,-,66
"S00151354",141,5,136
"S00151355",101,2,99
"S00151356",103,6,97
"S00151357",90,5,85
"S00151358",99,2,97
"S00151359",90,2,89
"S00151360",108,6,103
"S00151361",88,-,88
"S00151362",94,-,94
"S00151363",110,2,104
"S00151364",131,4,127
"S00151365",120,2,114
"S00151366",70,1,68
"S00151367",61,3,58
"S00151368",109,-,108
"S00151369",58,3,55
"S00151370",101,5,94
"S00151371",84,6,78
"S00151372",101,3,100
"S00151373",101,7,94
"S00151374",110,2,101
"S00151375",144,5,139
"S00151376",103,4,99
"S00151377",132,-,132
"S00151378",104,2,102
"S00151379",101,7,94
"S00151380",64,-,64
"S00151381",151,-,151
"S00151382",128,2,126
"S00151383",112,3,113
"S00151384",104,1,106
"S00151385",125,1,124
"S00151386",131,2,129
"S00151387",61,2,60
"S00151388",106,1,105
"S00151389",78,2,75
"S00151390",113,7,106
"S00151391",109,2,107
"S00151392",145,6,139
"S00151393",92,3,89
"S00151394",94,1,95
"S00151395",90,4,86
"S00151396",114,6,108
"S00151397",120,3,117
"S00151398",107,1,106
"S00151399",94,6,88
"S00151400",72,3,69
"S00151401",113,6,109
"S00151402",150,3,147
"S00151403",119,7,112
"S00151404",122,3,115
"S00151405",138,13,128
"S00151406",100,8,92
"S00151407",94,2,92
"S00151408",75,3,72
"S00151409",86,4,82
"S00151410",125,8,117
"S00151411",147,7,140
"S00151412",77,3,74
"S00151413",105,7,98
"S00151414",117,6,111
"S00151415",139,6,134
"S00151416",143,5,138
"S00151417",114,3,109
"S00151418",112,9,103
"S00151419",87,2,85
"S00151420",142,11,131
"S00151421",141,4,139
"S00151422",138,9,129
"S00151423",74,9,65
"S00151424",180,5,175
"S00151425",87,2,85
"S00151426",148,8,140
"S00151427",105,6,99
"S00151428",82,9,73
"S00151429",94,1,93
"S00151430",71,1,72
"S00151431",99,5,96
"S00151432",107,1,106
"S00151433",77,5,72
"S00151434",148,3,145
"S00151435",100,3,95
"S00151436",100,2,98
"S00151437",87,1,83
"S00151438",120,4,116
"S00151439",67,1,66
"S00151440",77,5,72
"S00151441",119,3,119
"S00151442",99,2,97
"S00151443",110,4,108
"S00151444",81,5,76
"S00151445",105,5,102
"S00151446",71,8,63
"S00151447",126,7,119
"S00151448",55,2,53
"S00151449",114,2,112
"S00151450",58,1,57
"S00151451",85,-,80
"S00151452",61,-,61
"S00151453",125,3,122
"S00151454",86,4,81
"S00151455",110,4,106
"S00151456",166,8,162
"S00151457",86,3,85
"S00151458",95,5,90
"S00151459",71,2,68
"S00151460",121,2,121
"S00151461",72,-,72
"S00151462",101,7,94
"S00151463",94,6,86
"S00151464",139,5,134
"S00151465",74,3,71
"S00151466",161,7,154
"S00151467",124,3,121
"S00151468",95,5,87
"S00151469",134,-,134
"S00151470",88,4,84
"S00151471",90,10,81
"S00151472",105,5,100
"S00151473",111,4,109
"S00151474",145,1,142
"S00151475",88,4,84
"S00151476",154,3,155
"S00151477",156,7,149
"S00151478",143,8,136
"S00151479",82,3,79
"S00151480",119,5,114
"S00151481",75,-,75
"S00151482",107,1,104
"S00151483",121,6,115
"S00151484",134,3,131
"S00151485",87,4,80
"S00151486",116,2,114
"S00151487",91,-,91
"S00151488",133,5,128
"S00151489",54,3,51
"S00151490",134,4,130
"S00151491",126,1,125
"S00151492",104,4,100
"S00151493",71,-,71
"S00151494",57,4,53
"S00151495",100,2,98
"S00151496",102,5,93
"S00151497",136,1,135
"S00151498",142,1,141
"S00151499",89,7,84
"S00151500",106,1,105
"S00151501",87,2,85
"S00151502",84,1,83
"S00151503",85,2,84
"S00151504",110,2,109
"S00151505",106,1,102
"S00151506",98,1,100
"S00151507",64,1,60
"S00151508",108,-,108
"S00151509",84,7,77
"S00151510",79,9,70
"S00151511",109,-,104
"S00151512",156,5,154
"S00151513",107,2,104
"S00151514",56,3,53
"S00151515",78,4,76
"S00151516",99,2,96
"S00151517",97,-,97
"S00151518",53,1,52
"S00151519",81,5,76
"S00151520",111,-,111
"S00151521",133,2,135
"S00151522",77,1,76
"S00151523",119,2,118
"S00151524",156,3,153
"S00151525",102,-,101
"S00151526",98,1,99
"S00151527",72,3,69
"S00151528",107,6,99
"S00151529",91,1,88
"S00151530",77,2,75
"S00151531",132,4,128
"S00151532",91,10,84
"S00151533",114,1,113
"S00151534",61,3,58
"S00151535",115,-,115
"S00151536",124,7,117
"S00151537",133,6,128
"S00151538",100,-,100
"S00151539",86,1,85
"S00151540",57,-,57
"S00151541",106,5,101
"S00151542",93,2,96
"S00151543",106,3,103
"S00151544",102,8,92
"S00151545",148,4,144
"S00151546",74,2,72
"S00151547",95,2,92
"S00151548",73,-,73
"S00151549",85,2,83
"S00151550",135,3,135
"S00151551",71,-,71
"S00151552",69,2,67
"S00151553",88,7,81
"S00151554",104,1,98
"S00151555",76,5,74
"S00151556",144,9,134
"S00151557",155,6,149
"S00151558",101,3,99
"S00151559",71,3,69
"S00151560",112,1,110
"S00151561",79,7,72
"S00151562",113,7,102
"S00151563",83,-,81
"S00151564",76,4,73
"S00151565",158,1,158
"S00151566",66,4,61
"S00151567",103,-,102
"S00151568",97,2,95
"S00151569",129,-,129
"S00151570",101,2,99
"S00151571",112,4,104
"S00151572",63,-,63
"S00151573",84,-,84
"S00151574",60,3,55
"S00151575",168,3,165
"S00151576",72,1,71
"S00151577",130,1,129
"S00151578",143,4,139
"S00151579",67,-,67
"S00151580",105,-,104
"S00151581",125,2,123
"S00151582",111,2,109
"S00151583",123,3,120
"S00151584",60,-,59
"S00151585",64,-,64
"S00151586",93,-,93
"S00151587",66,4,62
"S00151588",146,-,146
"S00151589",109,3,106
"S00151590",101,1,100
"S00151591",67,-,67
"S00151592",135,1,134
"S00151593",88,-,88
"S00151594",182,3,179
"S00151595",64,1,63
"S00151596",76,2,78
"S00151597",130,1,129
"S00151598",88,4,84
"S00151599",111,16,96
"S00151600",64,1,65
"S00151601",110,-,110
"S00151602",86,1,85
"S00151603",48,1,47
"S00151604",93,-,93
"S00151605",116,5,111
"S00151606",126,1,125
"S00151607",112,13,99
"S00151608",81,1,81
"S00151609",59,4,55
"S00151610",93,-,93
"S00151611",90,3,86
"S00151612",107,1,106
"S00151613",89,1,88
"S00151614",128,-,128
"S00151615",63,1,62
"S00151616",64,4,62
"S00151617",60,4,56
"S00151618",95,1,94
"S00151619",106,3,103
"S00151620",127,1,122
"S00151621",81,7,74
"S00151622",93,5,88
"S00151623",80,-,80
"S00151624",124,6,122
"S00151625",60,7,51
"S00151626",87,4,83
"S00151627",147,3,144
"S00151628",106,1,105
"S00151629",83,2,81
"S00151630",107,-,106
"S00151631",98,2,95
"S00151632",143,2,141
"S00151633",150,4,145
"S00151634",106,3,101
"S00151635",105,2,103
"S00151636",133,1,132
"S00151637",85,4,81
"S00151638",110,2,108
"S00151639",86,-,86
"S00151640",109,4,100
"S00151641",92,3,86
"S00151642",61,4,57
"S00151643",149,4,144
"S00151644",71,3,68
"S00151645",133,9,127
"S00151646",92,6,86
"S00151647",74,3,71
"S00151648",83,4,80
"S00151649",162,1,161
"S00151650",90,4,86
"S00151651",91,-,91
"S00151652",64,2,62
"S00151653",78,6,72
"S00151654",95,4,93
"S00151655",109,2,107
"S00151656",106,3,103
"S00151657",80,6,71
"S00151658",77,1,76
"S00151659",58,-,58
"S00151660",104,5,98
"S00151661",91,-,91
"S00151662",111,2,108
"S00151663",141,-,141
"S00151664",91,-,91
"S00151665",115,10,109
"S00151666",121,2,120
"S00151667",56,6,50
"S00151668",95,6,89
"S00151669",106,-,106
"S00151670",67,-,67
"S00151671",108,3,105
"S00151672",139,11,131
"S00151673",95,5,94
"S00151674",94,3,91
"S00151675",100,-,100
"S00151676",65,3,60
"S00151677",95,4,91
"S00151678",80,-,79
"S00151679",108,-,108
"S00151680",86,4,82
"S00151681",108,-,106
"S00151682",79,7,72
"S00151683",124,1,121
"S00151684",143,2,141
"S00151685",93,-,92
"S00151686",103,6,94
"S00151687",106,2,104
"S00151688",150,3,147
"S00151689",145,4,144
"S00151690",103,-,103
"S00151691",70,5,66
"S00151692",134,7,127
"S00151693",92,1,88
"S00151694",91,-,91
"S00151695",80,-,80
"S00151696",99,4,97
"S00151697",80,2,80
"S00151698",93,-,93
"S00151699",111,4,109
"S00151700",81,6,75
"S00151701",129,8,121
"S00151702",85,9,77
"S00151703",181,6,175
"S00151704",94,2,92
"S00151705",139,1,138
"S00151706",88,1,87
"S00151707",61,5,55
"S00151708",87,-,87
"S00151709",73,-,73
"S00151710",83,3,77
"S00151711",106,3,103
"S00151712",86,2,84
"S00151713",56,3,53
"S00151714",77,2,76
"S00151715",156,6,150
"S00151716",123,1,127
"S00151717",74,2,72
"S00151718",164,4,160
"S00151719",72,1,71
"S00151720",127,2,125
"S00151721",88,1,87
"S00151722",126,1,125
"S00151723",102,8,94
"S00151724",143,5,137
"S00151725",155,2,151
"S00151726",70,3,71
"S00151727",151,9,142
"S00151728",71,5,66
"S00151729",93,5,88
"S00151730",114,6,108
"S00151731",145,1,143
"S00151732",103,2,97
"S00151733",229,9,220
"S00151734",131,6,124
"S00151735",128,3,125
"S00151736",67,3,68
"S00151737",98,4,96
"S00151738",114,2,111
"S00151739",87,7,80
"S00151740",106,3,102
"S00151741",107,4,103
"S00151742",152,3,146
"S00151743",130,5,125
"S00151744",48,1,46
"S00151745",154,5,151
"S00151746",164,7,156
"S00151747",177,1,176
"S00151748",102,7,95
"S00151749",66,2,62
"S00151750",97,4,97
"S00151751",92,5,87
"S00151752",125,1,124
"S00151753",68,1,67
"S00151754",83,3,80
"S00151755",97,-,97
"S00151756",115,3,115
"S00151757",60,2,58
"S00151758",94,3,91
"S00151759",86,3,82
"S00151760",107,1,106
"S00151761",71,-,71
"S00151762",76,1,74
"S00151763",72,-,72
"S00151764",69,4,67
"S00151765",131,2,128
"S00151766",82,4,78
"S00151767",57,-,57
"S00151768",80,2,79
"S00151769",134,1,133
"S00151770",98,5,94
"S00151771",88,-,88
"S00151772",131,2,130
"S00151773",129,2,127
"S00151774",89,1,84
"S00151775",107,3,104
"S00151776",93,2,91
"S00151777",113,-,113
"S00151778",92,2,90
"S00151779",124,5,119
"S00151780",176,2,174
"S00151781",86,1,85
"S00151782",108,2,105
"S00151783",56,1,55
"S00151784",109,4,106
"S00151785",102,-,102
"S00151786",101,7,96
"S00151787",115,4,117
"S00151788",78,3,75
"S00151789",119,-,119
"S00151790",76,4,75
"S00151791",108,4,103
"S00151792",96,-,96
"S00151793",80,4,78
"S00151794",126,2,123
"S00151795",74,4,67
"S00151796",87,2,86
"S00151797",103,3,100
"S00151798",105,3,102
"S00151799",74,4,70
"S00151800",92,-,90
"S00151801",93,-,93
"S00151802",80,2,78
"S00151803",94,5,81
"S00151804",136,-,136
"S00151805",141,7,134
"S00151806",82,-,82
"S00151807",112,3,109
"S00151808",112,-,112
"S00151809",88,-,88
"S00151810",105,5,100
"S00151811",133,5,130
"S00151812",98,-,98
"S00151813",124,2,122
"S00151814",86,-,86
"S00151815",153,5,152
"S00151816",111,3,108
"S00151817",82,2,80
"S00151818",112,2,105
"S00151819",114,3,111
"S00151820",111,5,106
"S00151821",108,2,110
"S00151822",65,-,65
"S00151823",121,5,118
"S00151824",93,-,93
"S00151825",133,1,132
"S00151826",95,-,95
"S00151827",106,-,106
"S00151828",196,4,192
"S00151829",117,2,115
"S00151830",108,1,108
"S00151831",89,2,91
"S00151832",95,2,93
"S00151833",131,4,128
"S00151834",109,5,104
"S00151835",89,1,88
"S00151836",178,6,174
"S00151837",67,6,62
"S00151838",80,5,75
"S00151839",173,3,170
"S00151840",91,4,91
"S00151841",84,-,84
"S00151842",100,1,99
"S00151843",141,1,140
"S00151844",76,6,70
"S00151845",84,2,82
"S00151846",124,6,115
"S00151847",90,5,85
"S00151848",131,1,129
"S00151849",91,-,91
"S00151850",50,2,48
"S00151851",101,3,98
"S00151852",84,4,82
"S00151853",101,5,96
"S00151854",100,2,99
"S00151855",82,4,79
"S00151856",142,-,142
"S00151857",179,-,177
"S00151858",57,1,56
"S00151859",66,2,65
"S00151860",185,7,181
"S00151861",83,4,79
"S00151862",77,5,72
"S00151863",103,2,101
"S00151864",103,-,103
"S00151865",80,1,79
"S00151866",66,2,65
"S00151867",96,3,93
"S00151868",64,4,58
"S00151869",91,-,91
"S00151870",156,3,153
"S00151871",121,2,116
"S00151872",105,-,105
"S00151873",122,3,121
"S00151874",107,2,105
"S00151875",103,5,102
"S00151876",106,-,106
"S00151877",157,-,155
"S00151878",122,3,119
"S00151879",148,1,147
"S00151880",108,5,104
"S00151881",109,-,109
"S00151882",108,4,100
"S00151883",107,3,105
"S00151884",87,5,84
"S00151885",104,-,104
"S00151886",104,2,102
"S00151887",150,-,149
"S00151888",113,2,112
"S00151889",86,1,85
"S00151890",94,-,94
"S00151891",142,5,137
"S00151892",96,7,91
"S00151893",82,2,78
"S00151894",87,-,86
"S00151895",91,3,91
"S00151896",65,1,65
"S00151897",147,3,144
"S00151898",118,4,114
"S00151899",107,1,106
"S00151900",97,11,86
"S00151901",141,1,140
"S00151902",100,5,91
"S00151903",102,1,98
"S00151904",93,4,89
"S00151905",94,4,90
"S00151906",128,2,126
"S00151907",68,2,67
"S00151908",68,-,68
"S00151909",111,5,108
"S00151910",107,4,102
"S00151911",89,5,88
"S00151912",117,2,115
"S00151913",115,-,114
"S00151914",111,4,101
"S00151915",72,-,72
"S00151916",130,6,126
"S00151917",129,5,124
"S00151918",104,3,101
"S00151919",82,3,76
"S00151920",126,5,121
"S00151921",132,5,130
"S00151922",123,1,121
"S00151923",86,2,84
"S00151924",122,-,122
"S00151925",96,-,96
"S00151926",118,4,116
"S00151927",176,4,176
"S00151928",148,5,146
"S00151929",141,6,135
"S00151930",93,2,91
"S00151931",157,2,156
"S00151932",121,2,119
"S00151933",84,1,83
"S00151934",70,2,67
"S00151935",87,-,87
"S00151936",111,5,106
"S00151937",139,2,138
"S00151938",106,2,105
"S00151939",96,2,94
"S00151940",87,4,85
"S00151941",136,2,137
"S00151942",121,6,115
"S00151943",111,1,110
"S00151944",133,2,132
"S00151945",78,1,77
"S00151946",120,3,117
"S00151947",85,1,84
"S00151948",71,-,70
"S00151949",91,1,90
"S00151950",128,4,129
"S00151951",135,5,130
"S00151952",103,1,104
"S00151953",83,-,83
"S00151954",101,3,98
"S00151955",61,1,60
"S00151956",144,-,144
"S00151957",131,2,125
"S00151958",184,3,184
"S00151959",59,2,57
"S00151960",79,3,76
"S00151961",142,2,143
"S00151962",140,4,136
"S00151963",111,-,111
"S00151964",123,3,121
"S00151965",104,4,100
"S00151966",82,3,79
"S00151967",123,-,123
"S00151968",70,-,68
"S00151969",161,4,157
"S00151970",94,1,93
"S00151971",125,5,120
"S00151972",94,1,93
"S00151973",75,4,71
"S00151974",71,1,66
"S00151975",89,-,88
"S00151976",52,4,50
"S00151977",126,3,123
"S00151978",139,5,134
"S00151979",108,1,104
"S00151980",68,2,67
"S00151981",42,-,42
"S00151982",87,5,83
"S00151983",114,2,113
"S00151984",117,4,113
"S00151985",76,3,74
"S00151986",119,3,112
"S00151987",98,7,95
"S00151988",112,4,108
"S00151989",79,-,78
"S00151990",98,3,95
"S00151991",134,2,131
"S00151992",79,2,77
"S00151993",164,2,158
"S00151994",83,2,81
"S00151995",141,6,135
"S00151996",94,2,92
"S00151997",121,1,118
"S00151998",102,4,100
"S00151999",123,4,119
"S00152000",97,-,97
"S00152001",111,7,108
"S00152002",98,1,97
"S00152003",143,3,140
"S00152004",127,4,120
"S00152005",89,-,89
"S00152006",161,8,153
"S00152007",95,1,94
"S00152008",165,5,162
"S00152009",97,4,92
"S00152010",61,-,61
"S00152011",85,1,84
"S00152012",138,7,130
"S00152013",124,5,117
"S00152014",133,-,133
"S00152015",119,5,114
"S00152016",182,2,180
"S00152017",85,2,86
"S00152018",87,3,84
"S00152019",138,2,133
"S00152020",99,2,97
"S00152021",69,-,69
"S00152022",86,2,84
"S00152023",76,2,74
"S00152024",65,1,64
"S00152025",113,2,111
"S00152026",153,-,152
"S00152027",161,-,159
"S00152028",117,4,113
"S00152029",163,1,162
"S00152030",112,-,113
"S00152031",136,7,133
"S00152032",126,7,119
"S00152033",71,3,65
"S00152034",96,-,96
"S00152035",130,5,125
"S00152036",72,1,69
"S00152037",111,-,109
"S00152038",52,-,52
"S00152039",121,2,116
"S00152040",146,5,141
"S00152041",132,2,130
"S00152042",152,1,151
"S00152043",86,2,83
"S00152044",101,2,99
"S00152045",131,-,131
"S00152046",63,4,55
"S00152047",82,2,80
"S00152048",159,4,156
"S00152049",98,3,95
"S00152050",105,1,105
"S00152051",113,-,109
"S00152052",122,8,113
"S00152053",119,2,118
"S00152054",109,-,109
"S00152055",88,3,85
"S00152056",101,2,99
"S00152057",112,3,106
"S00152058",99,-,97
"S00152059",74,2,68
"S00152060",117,4,115
"S00152061",61,5,56
"S00152062",84,4,82
"S00152063",164,3,158
"S00152064",93,4,86
"S00152065",100,3,97
"S00152066",123,2,121
"S00152067",127,1,126
"S00152068",138,-,138
"S00152069",110,2,104
"S00152070",82,3,79
"S00152071",87,3,87
"S00152072",116,3,113
"S00152073",149,-,149
"S00152074",83,3,80
"S00152075",80,-,80
"S00152076",148,-,148
"S00152077",118,6,107
"S00152078",173,-,173
"S00152079",87,4,85
"S00152080",73,1,72
"S00152081",84,1,83
"S00152082",93,6,88
"S00152083",110,4,110
"S00152084",128,2,125
"S00152085",160,4,156
"S00152086",124,5,119
"S00152087",66,1,65
"S00152088",89,1,88
"S00152089",105,5,99
"S00152090",109,2,107
"S00152091",82,2,80
"S00152092",95,2,97
"S00152093",123,3,120
"S00152094",115,1,114
"S00152095",167,3,164
"S00152096",51,1,46
"S00152097",107,-,107
"S00152098",134,3,131
"S00152099",111,3,109
"S00152100",76,9,67
"S00152101",117,3,114
"S00152102",97,-,97
"S00152103",136,3,129
"S00152104",141,4,134
"S00152105",147,1,144
"S00152106",76,3,73
"S00152107",161,7,155
"S00152108",174,2,173
"S00152109",96,3,90
"S00152110",94,5,86
"S00152111",141,5,133
"S00152112",155,2,153
"S00152113",105,2,103
"S00152114",85,4,83
"S00152115",152,3,148
"S00152116",84,3,81
"S00152117",90,-,90
"S00152118",103,4,98
"S00152119",96,3,93
"S00152120",92,2,93
"S00152121",105,2,103
"S00152122",74,-,74
"S00152123",94,3,91
"S00152124",102,3,99
"S00152125",137,-,136
"S00152126",93,2,92
"S00152127",145,3,143
"S00152128",106,7,98
"S00152129",122,2,120
"S00152130",78,3,76
